bad, distressing
tough, tougher
low, scarce
excessive, much
scary, terrifying
tougher, rigorous
rigorous, tough
frightening, terrifying
stringent, severe
huge, much
tougher, severe
stringent, tougher
upstanding, fine
excessive, huge
stringent, rigorous
limited, scarce
tough, severe
much, excessive
tough, rigorous
severe, stringent
rigorous, severe
limited, low
low, limited
distressing, bad
tougher, stringent
scary, frightening
severe, tougher
rigorous, tougher
terrifying, scary
terrifying, frightening
severe, tough
huge, excessive
tougher, tough
rigorous, stringent
frightening, scary
tough, stringent
severe, rigorous
upstanding, admirable
much, huge
stringent, tough
