least, less
early, earlier
young, youngest
faster, quickest
lower, lowest
dense, denser
free, freest
clear, clearest
warm, warmer
cheap, cheaper
new, newest
firm, firmer
upper, highest
bright, brighter
dark, darkest
greater, greatest
easy, easiest
honest, kosher
stronger, greatest
green, greener
rich, richer
low, lower
strong, stronger
nicer, best
closer, closest
poor, poorest
easier, simplest
many, most
long, longest
larger, greatest
strict, strictest
biggest, bigger
youngest, younger
greatest, higher
deeper, deepest
biggest, stronger
