easiest, worst: 3.36536478454
firm, wider: 0.37185033167
lovelier, short: 0.284469951749
hotter, lesser: 1.73731080146
fewer, narrow: 1.04299394184
bright, cuter: 2.18246845907
gravest, hot: 0.284786404163
closer, younger: 1.67707678839
nice, stricter: 0.747889444933
most, sure: 0.618336991487
cruellest, simplest: 4.59599900377
big, wide: 1.58773241755
best, long: 1.12013368522
deeper, stupider: 3.0597097203
surer, worse: 3.00183040133
loud, shortest: 0.621968801525
rare, shorter: 0.819374426968
lucky, true: 1.18237233766
earlier, purer: 0.444366504268
smallest, weak: 0.762350327674
cruellest, strong: -0.383823464229
another, heavy: 0.534964797501
hotter, nicer: 4.85443804376
fewer, new: 0.979585869152
darker, faster: 2.79011085561
long, wider: 1.0190140303
larger, wider: 3.82180742433
longest, narrower: 1.43763528586
dense, stupider: 0.826747112553
safe, smallest: -0.012835491791
good, small: 1.0638641823
greatest, large: 1.49604432632
busy, sound: 0.195695788167
green, rarest: 0.954179427887
closer, rarest: 0.713253470294
rich, widest: 1.72394694562
biggest, easiest: 3.54326653367
largest, stupid: 0.049226054671
broader, taller: 0.903373308689
proper, youngest: 0.04409394875
biggest, faster: 0.855723608051
light, warmest: 0.94874154028
latest, rich: 0.81159344119
bad, later: 0.873862490773
larger, stricter: 2.15725394381
busy, darkest: 1.11710380924
brighter, luckier: 4.63005794693
noble, prouder: 2.01499964988
bright, lesser: 0.64680173938
cold, far: 0.659857336692
longer, true: 1.05263715158
far, weird: 0.689173048076
freest, poorest: 5.40253941571
heavy, quiet: 1.3951178091
lowest, proud: 0.726772235158
quiet, stupider: -0.159390331868
grave, rich: 0.766185144267
loud, nicer: 1.77074624717
another, thin: 0.204732138635
better, rarer: 1.92565202743
greatest, latter: 0.993821085917
lighter, upper: 1.66316622264
busy, dead: 1.02640927175
heavy, much: 1.68135485218
cold, higher: 0.712756738348
firm, poorest: -0.404207287565
richest, simple: 0.644505903172
good, happiest: 2.58140938484
smaller, surer: 1.67605674447
latter, newest: 0.167146414691
bright, deep: 0.972094556064
proper, wiser: 1.14400630301
stupid, wide: 0.638564172422
lowest, worst: 5.33747188604
clear, strongest: 1.42765828418
large, strong: 1.48763439539
bad, smallest: 0.583141454265
gravest, longer: -0.117749253581
hard, hotter: 1.35087865619
strictest, warmest: 4.29956350331
cold, quicker: 0.998224142148
honest, poorest: 1.12279169334
earliest, milder: 1.92696665393
cruellest, prettier: 1.90002824184
best, brighter: 1.34808424859
closest, pretty: 0.811758628547
dark, deep: 1.99855734151
rarer, tall: 1.08465395104
clearer, pure: 0.930903200088
cute, quiet: 1.88068476521
proud, weirder: 0.239719310726
prouder, stupider: 4.36669163439
fair, modest: 1.2944503894
rarest, rarest: 12.9947395662
freest, highest: 4.30440583041
stupid, youngest: 1.18126947272
quicker, wiser: 3.8612717948
cooler, freest: 1.38805440839
pretty, strange: 1.60796160907
high, pretty: 0.829966756889
brighter, rarer: 2.91229393512
darkest, young: 1.03164604428
deepest, firm: 0.133202997628
healthy, wide: 1.10134590324
heavy, wider: 1.55680367668
older, smallest: 0.998843855151
easier, well: 0.826393959522
cold, larger: -0.012007145689
cute, freer: 0.113902393131
late, young: 0.618136093034
greater, short: 0.670971248242
ever, truer: 2.48827360087
longest, weakest: 3.96960776925
