rich, weird: 0.706700387495
large, lower: 1.36950979262
quieter, short: 0.620311864987
earliest, short: 0.999929981338
happiest, prettier: 3.15225552677
clearer, fat: 0.546232905113
smarter, smarter: 10.0851696055
grim, milder: 2.3185083936
big, grimmer: 1.03158745208
clearest, wise: 1.09809197663
honest, short: 0.960098056665
easy, free: 1.43405632739
cold, weakest: 1.1172327025
low, wider: 0.799397746461
healthy, wiser: 1.70881304488
easy, shorter: 1.11927738313
fairest, harder: 1.87085622433
richest, strange: 0.761496145644
cuter, earlier: 0.366523093491
smallest, smarter: 1.05744463463
shorter, worse: 2.04063106895
hotter, stupid: 1.13535563119
cruellest, widest: 2.95333950853
healthy, larger: 1.00319820551
smarter, sure: 2.04734768006
thin, worse: 0.363508746812
deepest, grimmer: 1.68739145679
easiest, poorer: 1.24009753177
thin, warm: 1.40394760588
narrow, rarer: 0.460728506303
early, large: 0.612621344899
early, smart: 0.651984416535
nicer, upper: 1.0979843808
deep, highest: 0.672484752305
bad, lesser: 1.1381193361
prettier, truer: 4.32329876488
quiet, wiser: 1.01978122045
pure, simplest: 2.32778417946
happy, weird: 2.27065358142
big, grim: 1.23340349731
heavier, larger: 3.70264027399
modest, surer: 1.67537127189
richer, safer: 2.86127278368
proud, quicker: 0.117951502597
cheap, healthy: 1.51783456756
darker, lovelier: 4.40776162879
freer, narrower: 3.75376989147
easy, richer: 1.06988654978
tall, truer: 0.626484846388
broader, poorer: 1.78582045163
latter, young: 0.299515526719
slow, warmer: 1.97610745142
cruellest, early: 0.996787817816
less, worst: 0.855189330647
hard, subtle: 1.0229079402
less, sure: 0.494672605531
cheaper, fatter: 4.37951580508
busy, sounder: -0.428262423592
least, wider: 0.45305276737
nicer, slow: 1.03700961363
clear, greatest: 0.586867846233
big, strict: 0.749266887684
heavier, lower: 3.27964262244
prettier, wiser: 4.63828716658
colder, rich: 0.407178253908
few, warmer: 1.27829055591
great, quicker: 1.66534220428
hotter, upper: 1.43409919563
grim, higher: 1.08002910897
drier, rich: 0.978223935926
cruel, deep: 0.579670710502
heavier, richer: 2.86892571988
greener, prettier: 5.07193038164
taller, weak: 0.936734113219
quiet, stupid: 0.995080296223
smarter, strongest: 1.6004399713
deep, newer: 0.143167674202
fair, happier: 0.918258439085
safer, strong: 0.965028466398
rare, simple: 1.27003068032
clearer, fairer: 4.2659003907
narrower, pretty: 0.559117680301
bigger, dry: 0.191193281749
drier, wiser: 3.19263992515
smaller, subtler: 2.40496223097
narrower, rarest: 0.886148924
broad, darker: 1.05006611148
finest, less: 0.454421400226
greater, greater: 6.45710778622
proud, wiser: 0.855889071042
louder, strong: 0.806971638767
cruellest, cute: 1.81972627293
greatest, stricter: 0.83555454877
bad, greater: 0.356520602476
heavy, nice: 1.27386517034
sure, weirder: 1.18672444998
cheaper, fat: 1.41898769162
denser, many: 0.778932201142
easiest, longer: 0.814878347075
hardest, wide: 0.56378842961
louder, low: -0.092897749595
longest, sound: 0.240807167812
shorter, tough: 1.3837081248
healthier, slow: 1.44636610084
deepest, long: 0.964739209843
grimmer, larger: 2.94094490982
greater, warm: 0.276330696381
denser, freest: 1.46641299178
nobler, some: 0.722937186341
wise, younger: 1.38754305911
denser, late: 0.15669436783
light, quieter: 1.24996610757
drier, strictest: 1.41561564578
good, modest: 1.46353396578
bright, brighter: 6.10957090665
long, purer: -0.050376461805
most, tough: 0.818650959003
low, nicer: 0.603718305244
quickest, worst: 3.20707313201
freer, quick: 1.44042381098
big, sound: 0.756406223274
stupider, sure: 1.22986738767
biggest, youngest: 3.08648676244
easiest, purer: 1.56324739296
gravest, louder: 0.440548993875
healthier, pure: 0.550764583252
cold, cuter: 0.2681073408
good, little: 1.78991481645
best, happy: 1.54752182028
quick, rarest: 0.255470052937
greener, strongest: 0.884548612789
gravest, interest: -0.01402893548
firmer, quicker: 3.48379408199
big, far: 0.791436747455
largest, quick: 0.311380206857
better, modest: 1.20258824343
fatter, purer: 3.23744143412
honest, richest: 0.991437317636
taller, true: 0.921645850951
hotter, narrow: -0.314928815856
easier, slower: 3.1437718989
louder, poorest: 0.843514242118
bad, wiser: 1.80200270563
bad, fatter: 1.91232382151
fair, smarter: 0.988225800713
fair, older: 0.311711794068
happy, strongest: 0.609012530883
another, well: 0.206286408922
firm, stupid: -0.250508267607
stranger, thin: 0.274479392684
newer, shorter: 2.94146382996
darker, stupider: 3.76810294817
bigger, cooler: 2.07789725917
broad, quieter: 0.185609654059
few, least: 1.33642855278
hard, high: 1.19202355683
dense, subtler: 2.10444427821
deepest, proud: 0.961350654622
earliest, grimmer: 1.44782927952
ever, strong: 0.041051306809
firmer, greater: 2.52590935704
cute, greatest: -0.037497868919
fewer, kosher: 0.498320157536
greener, hard: 0.940790174825
milder, simple: 0.997539788467
fastest, small: 0.430741344008
earliest, weakest: 2.90743214311
cute, many: 0.666010445595
easier, ever: 1.08517609595
early, latest: 0.847507392964
better, smaller: 2.09931513767
modest, older: 0.914000664451
closer, hard: 1.19474295556
larger, lighter: 2.89317740748
firm, light: 0.317319959467
smallest, sounder: 0.470551130098
louder, safest: 0.402923343824
ever, warmest: 1.60012465839
firm, high: 0.692698166454
easy, slower: 1.38949925753
tough, younger: 1.11657430905
cruellest, safe: 0.198329828276
busy, clear: 0.969518469536
deepest, low: 0.730803273583
dry, tall: 0.754692237488
new, wider: 1.33577872098
greatest, sure: 0.895506323918
biggest, cuter: 0.569648336342
closer, thin: 0.709800664055
simple, younger: 0.470005512233
fatter, nobler: 3.24582218051
faster, green: 0.569462510651
busier, proper: 0.051864013532
broader, well: 0.944287730662
tougher, young: 0.889692253009
late, little: 0.769348933132
clearer, hot: 0.717870403361
freer, nice: 1.38657516038
ever, healthy: 0.298990539634
high, narrower: 0.975005499067
bright, quick: 1.25306392622
freer, weaker: 3.3815769686
fastest, sure: 0.720337358043
smart, sounder: 1.94340390385
strict, stronger: 1.43406000916
cruellest, narrower: 0.457697985366
kosher, wider: 0.276751990684
light, long: 0.66363525211
quicker, slow: 3.58940855394
best, thin: 0.650068049274
biggest, greater: 1.79654500642
fair, slow: 0.689706972862
biggest, dry: 0.30688969452
grim, modest: 2.3655136573
fat, quicker: 1.28711083532
broader, drier: 1.23570504388
healthier, modest: 1.66704645393
nice, quickest: 2.19042324215
clearest, safe: 0.607153659699
clearest, rich: 1.35658690908
hardest, pretty: 2.01623550884
cruellest, least: 0.692980842506
deeper, dense: 1.79795923645
better, youngest: 0.938640546846
bigger, firmer: 2.33717046681
easier, rich: 0.555667182133
low, old: 0.469259240567
cheaper, smarter: 4.17001615006
newest, strongest: 2.18563481305
less, prouder: 1.41819010239
hotter, less: 2.49292907077
highest, low: 3.09038324893
poorest, smallest: 3.40661046456
earliest, richer: 0.093338428699
busier, clearest: 0.511240175665
busier, far: 1.48601615334
greener, richest: 1.364421354
dense, smart: 1.47531739158
heavy, largest: 1.40160515994
clear, latest: 0.531745808631
firmer, surer: 3.29059554785
closest, wide: 1.2309631362
faster, quiet: 0.254057160035
hardest, strict: 1.10338480005
healthy, older: 1.71461368014
few, hardest: 1.1572435377
clear, faster: 0.536051294081
bigger, truer: 3.40762714766
luckier, poorest: 2.16004190452
happy, poorest: 0.5751796663
honest, interest: 0.434910471049
biggest, finest: 3.60835290204
quick, quick: 5.87401912533
fastest, hard: 1.35205808965
stranger, strong: 0.128281098469
quiet, simpler: 1.06191230413
pure, sound: 1.18552811135
hard, rare: 1.40247118319
close, most: 0.31594908666
far, strict: 1.08993318922
shortest, weakest: 3.51143142387
lower, worse: 2.13840128828
closer, far: 1.70687672601
hardest, later: 0.182484311406
safe, tougher: 1.39885550011
interest, stricter: -0.037846196019
dark, proud: 0.511441658151
quicker, weakest: 1.58635913335
fairest, narrower: 0.762991144156
lovely, strict: 0.589375048632
heavier, rare: 0.488483059168
darker, taller: 3.14405098073
deep, warmer: 1.42535326812
fewer, rarer: 3.39289995121
few, longest: 0.350065202437
firm, warm: -0.038492306469
closer, quiet: 1.03707204078
high, upper: 1.67647793258
greater, safe: 0.812255223829
gravest, warmest: 4.18783226436
newest, pure: 0.776159658981
fewer, tough: 1.35350147331
farther, weak: 0.692437351964
fairer, honest: 3.56140139599
closer, cute: 0.889637348657
honest, young: 1.37096985798
cheaper, weaker: 3.46847259955
large, weaker: 1.10830361476
rarest, rich: 1.59486933998
better, newer: 1.55168824904
prouder, prouder: 17.5460435636
easiest, taller: 0.905594514026
cruel, firm: -0.579191054848
dry, highest: -0.068299263773
smaller, tall: 1.54843953627
quiet, short: 1.1537779919
fairer, smart: 1.70682081613
larger, wiser: 1.85283238394
older, youngest: 2.94042860945
gravest, lovelier: 1.11527195511
broader, shortest: 0.260430452775
more, simple: 0.516939943695
hotter, smarter: 3.89119634098
great, weird: 2.15257680188
healthier, light: 0.73025562454
cold, light: 1.50952776228
largest, warmer: 0.468278772355
greatest, happy: 0.602079815736
smaller, youngest: 0.89190192018
highest, more: 1.07904061525
drier, strict: 0.45337432705
bigger, cruellest: 0.668032949425
cruel, greener: -0.290760313731
dark, safe: 1.53958002903
light, weirder: 0.748542780056
cruellest, darkest: 5.50371986948
rarest, some: 1.26778796405
finest, finest: 9.12093836616
cooler, farther: 2.7750067576
earlier, lighter: 0.886262347493
poorer, rarest: 1.04555705641
great, weaker: 1.23186526008
late, less: 0.147859716752
large, some: 0.881474578106
low, simple: 1.50186832392
cruel, less: 0.303495464318
bad, subtler: 0.705897321593
far, kosher: 0.392414024766
free, subtler: 0.106357374221
proper, smart: 1.1425168848
little, thin: 1.60269056546
earliest, strange: 0.946462256569
freer, later: 0.687146845166
quieter, safer: 4.87561497234
fairer, lovelier: 3.16837557101
denser, strict: 0.533264163948
simpler, warm: 0.639878421898
busier, nice: 1.87426565034
stronger, weakest: 4.15692451628
older, weakest: 1.43145452107
cold, lucky: 1.2243405072
stranger, youngest: 1.63127941183
lovely, rich: 1.7351496121
healthier, higher: 2.92587686269
wider, youngest: 0.573595537595
dark, newer: 0.953900401896
clearer, clearest: 4.94019057359
brighter, healthier: 5.16811165474
lovely, weirder: 2.01862767918
cooler, later: 0.85131032598
easiest, fastest: 4.30629339263
lovelier, stupider: 3.71643166463
big, smart: 1.83887959357
greatest, hardest: 4.64107759649
better, harder: 3.89653485092
cooler, least: 0.549919137832
fatter, greatest: 1.05244312005
happier, stupid: 1.30597433734
low, purer: 0.55187144045
quiet, slower: 1.53767562384
lesser, wiser: 1.97039945816
fast, lovely: 0.77328316511
