happier, subtle: 1.20572164105
grave, grimmer: 2.26673269636
deeper, lighter: 2.13845135778
dry, sure: 0.91780921713
close, prouder: 0.235822773127
dead, poorest: 1.29139827702
sure, wiser: 1.66039303586
clear, stupider: 0.530739768774
long, most: 0.83442124055
greater, weakest: 1.11123950622
good, lighter: 1.34063803513
grim, light: 1.39537515027
harder, modest: 0.738773800408
happiest, sounder: 1.18419582176
best, young: 0.806783285338
older, stupider: 3.03182473457
less, tougher: 2.20243043964
lovelier, simple: 1.00234659932
busier, latter: 0.389184500878
healthy, nicer: 1.50311768408
cute, stupider: 3.35633741799
ever, simpler: 1.30548541575
many, thinner: 0.752394381889
nobler, poorer: 2.57138343394
cheap, hardest: 0.866329841293
pretty, subtler: 0.6625995588
latest, smaller: 0.369607413349
truer, truer: 10.5560188414
loud, worse: 0.602101130318
newer, pure: 0.67798153325
largest, safest: 4.10647376601
slower, weak: 3.08436969804
interest, richest: 1.4043490763
earliest, greatest: 3.36929156405
fair, freest: 2.93996117211
firmer, wide: 0.799332080858
farther, many: 0.812859753973
freest, sound: 0.742419802166
busier, gravest: 0.006018582714
happy, warmer: 1.40235216517
cruellest, high: -0.228732387499
broad, great: 1.08969451928
fastest, smart: 1.77227115934
hard, weird: 1.6931747022
healthier, poor: 1.68750084648
hard, strongest: 1.28957452752
simpler, thin: 0.833533632791
hard, stronger: 1.75999054705
cheap, weaker: 1.44096291423
dead, faster: 0.897916605211
easier, much: 1.50651514436
light, longest: 0.824694882276
busier, poor: 0.167939734098
dead, narrow: -0.117278616076
little, short: 1.00613698344
harder, larger: 2.58465292094
busy, high: 0.824496309669
larger, smallest: 3.3241720154
kosher, older: 0.728192158055
happier, tougher: 3.00358684869
richest, wiser: 1.52917823308
smallest, warm: 0.419282765709
louder, strict: 0.306235591802
greater, stupid: -0.208052588938
closer, poorest: 0.861054680389
darker, sound: 1.05415418228
quicker, strong: 0.922363098764
broadest, quieter: 0.500508801883
fairest, loud: 0.003053395893
safest, sound: 0.849545694069
easiest, long: 1.03774651442
nice, slow: 1.55477238498
fair, safer: 1.10996968919
least, true: 0.736595903698
free, strict: 1.10128057821
quiet, simplest: 0.24992440291
milder, quiet: 1.43001715407
clearer, easiest: 1.20557781296
darker, truer: 4.40092837002
broad, stricter: 1.28185516865
fairest, smallest: 2.33395484913
dry, new: 0.4290532064
lower, safest: 1.06481814366
dead, new: 0.314097844495
dark, easier: -0.021963384873
proper, proper: 5.77145430301
cute, smart: 2.95999092273
heavier, least: 0.919295063705
clearer, strict: 1.57107661367
dry, larger: 0.364309673941
cool, later: 0.120878635025
clearer, warmer: 3.57455298899
purer, warmer: 3.55759255538
good, quick: 2.28352815805
dense, grim: 1.21727331788
earliest, poorer: 0.430035987845
fat, luckier: 0.224084020921
dense, wiser: 0.40040706169
deep, long: 1.55068901908
lovely, lower: 0.12598617585
cruel, rarest: 2.6397898272
old, subtler: 0.354699486112
longest, milder: 0.779582697429
easy, longer: 1.12172268531
modest, smallest: 2.61128290257
latter, rich: 0.264308091105
lighter, rich: 0.672947876592
high, smarter: 0.057991468367
busy, stupider: 0.685858734646
louder, well: 0.788893945208
big, tough: 2.72943985506
light, louder: 0.777743003392
farther, strange: 0.937520338337
closer, cuter: 3.28011497199
some, truer: 0.487056658639
cute, easier: 1.01669535146
proud, strong: 2.16418481917
many, richest: 0.799599828269
bad, pretty: 1.97614385332
more, most: 2.09337255473
darkest, fairer: 0.995118096853
biggest, fairest: 1.59507905547
fatter, stricter: 3.0190841065
stupid, weirder: 2.58596151303
simple, warmest: -0.525150575545
fastest, many: 0.400799535596
cute, lovelier: 3.01435029068
